# Number, X_IMAGE, Y_IMAGE, MAG_AUTO, MAGGER_AUTO, FLAGS, FLAGS_WEIGHT, FWHM_IMAGE, BACKGROUND, ALPHA_J2000, DELTA_J2000
9164,4535.2886,7393.2334,-8.74916,0.02461455,0,0,1.6774648,90.58268,56.93329644153575,24.507258394342212
9165,8276.24,7422.2314,-11.749315,0.0052180914,0,0,1.7580733,141.75151,56.297130950066816,24.510639922046423
9166,7703.88,7393993,-7.7493424,0.045602582,0,0,1.742143,122.47104,56.39447489626055,24.506612616515056
9167,5061.2554,7394.21,-6.9575024,0.088052176,0,0,1.8397099,95.74793,56.843853476298314,24.507415162184984
9168,1508.8497,7397.5815,-8.947976,0.022015927,0,0,1.6516352,83.210396,57.44793973875457,24.50687443980216
9169,6337.2256,7408.1274,-11.105623,0.0070249285,0,0,1.6447024,100.78896,56.626866326266125,24.509363360561302
9170,8079.4165,7396.1777,-6.7133894,0.09336323,0,0,1.5931183,138.1635,56.33061693010868,24.506733382028653
9171,715.30945,7401246,-9.768219,0.013847195,0,0,1.7915952,85.08338,57.58287181038835,24.506875685376098
9172,8380.77,7399525,-8.581653,0.045892593,3,0,4.5067835,141.26868,56.27937314447133,24.507057549957047
9173,2791966,7399.0166,-7.1814766,0.09361687,0,0,2.3264058,86.63935,57.22975403894891,24.507757566206017
9174,1623.3594,7402178,-6.689622,0.11118603,0,0,1.7861227,83.42858,57.428471679798626,24.507657403243545
9175,1698.4845,7409.3643,-10.044322,0.0119920345,0,0,1.625751,83.66654,57.4157020264053,24.508814937480356
9176,8395694,7429547,-9.847991,0.025002228,3,0,8.428647,134.7346,56.276813324140015,24.51169255031225
9177,6415.0127,7403.9688,-6.724649,0.09781562,0,0,1.6207807,101.122696,56.61363961509447,24.508697332534076
9178,9205219,7403.7373,-7.5340023,0.057624843,0,0,1.8315524,98.27589,56.1391862274981,24.50709088875633
9179,2723.0325,7407.4253,-9.413944,0.017297782,0,0,2.065754,86.78459,57.241479801677336,24.50903103524183
9180,5397.2246,7404865,-7.378282,0.06796689,0,0,1.7686682,103.40342,56.78671925588318,24.509039911195153
9181,6837.6104,7410.2275,-8.217169,0.047652427,0,0,2.836129,116.96115,56.54177357740057,24.509523172790214
9182,802.8416,7407028,-7.5317125,0.07914405,0,0,2.4833462,83.62944,57.56799347682014,24.50783846232989
9183,327.7657,7405.5996,-7.370347,0.07551979,0,0,1.7090006,86.51039,57.64876910235092,24.507229308472603
9184,8386206,7411.5913,-8.262581,0.050253082,1,0,3.7166162,138.51819,56.278439946007126,24.508920805534153
9185,8068884,7407485,-6.765771,0.08709983,0,0,1.7523803,135.70332,56.332400388783356,24.50848935087723
9186,2328.3577,7412237,-8.95275,0.022197926,0,0,1.8181415,85.44802,57.30859639871259,24.509600356297096
9187,7392.1943,7414.7017,-7.7634015,0.06959053,0,0,2.703555,123.12471,56.44746414430315,24.509976657593384
9188,7650.7495,7414191,-7.830159,0.06988861,0,0,3.156423,120.31253,56.40349765060615,24.50976626860445
9189,5035838,7413.6533,-8.397904,0.030970844,0,0,1.853802,95.58319,56.84817511272894,24.510424566585673
9190,4530237,7414.6694,-7.8868647,0.04316962,0,0,1.6661108,90.59315,56.93415690000755,24.510574864659663
4330,4889.7524,7428.4956,-10.083462996520996,0.035945676,0,0,1.8861024,7.7921095,56.87312375624424,24.512702241106958
9192,1417.4884,7420027,-9.076762,0.020219773,0,0,1.579804,83.09322,57.463490542620484,24.51028815346644
9193,3525323,7419096,-7.7332783,0.05125516,0,0,1.9554384,87.8029,57.10505134575632,24.51110144896494
9194,2682.3572,7417472,-7.2526765,0.06311571,0,0,1.7987537,86.69584,57.248401151853024,24.51056890875675
9195,9143376,7419.8525,-6.913361,0.09386736,0,0,1.4540509,99.47642,56.14968707116261,24.509635098157055
9196,7670.8477,7427.9346,-9.234701,0.019168125,0,0,1.6363776,120.167946,56.40007201418205,24.51188204844417
4341,6130.52,7477.7856,-13.673026366271973,0.006174402,0,0,1.6531051,8.301879,56.662103760900905,24.520173931905838
9198,6107187,7425.9517,-9.25601,0.017907783,0,0,1.5196872,100.24533,56.66598080066116,24.51218120775706
9199,3512506,7423996,-7.679614,0.07208826,0,0,3.5804732,87.67694,57.10723232399899,24.51185629709054
9200,4621154,7427.3438,-9.013437,0.021952929,0,0,1.6861267,91.38333,56.91869630896095,24.51254077652146
9201,9469.0,7420.0,-8.255064,0.05876128,1,2,7.1107306,95.31854,56.094321043073975,24.509381772399006
9202,3078.0884,7425.5576,-7.170259,0.09274642,0,0,3.8596709,87.37357,57.1811086605511,24.51196881569343
9203,6910.0327,7425861,-7.8122687,0.051094335,0,0,1.7619394,124.99068,56.52945143678757,24.511914198474813
9204,7293899,7440.3706,-9.556649,0.02812697,2,0,6.89806,129.47389,56.46416634373944,24.513994907998423
9205,313.79007,7426241,-8.310344,0.036453307,0,0,1.8037208,86.41135,57.651164646818756,24.510410830032495
9206,4046.3625,7442.15,-10.948969,0.0076072216,0,0,1.659573,89.064095,57.01644830546067,24.514774639455837
9207,7057303,7448728,-10.449408,0.019580437,0,0,11.184048,151.8082,56.50439706223654,24.515392626575256
9208,1797.8914,7452845,-12.154249,0.004254228,0,0,1.5761287,83.88175,57.39882597819162,24.51560127059971
9209,395.95456,7434301,-8.27817,0.03680573,0,0,1.6209259,90.4205,57.63720156318713,24.511728274576527
9210,3039.1538,7429499,-7.4127054,0.054301478,0,0,1.9358041,87.36829,57.187731193172844,24.512565319835907
9211,5298745,7429529,-7.509131,0.054687213,0,0,1.8245884,98.974915,56.80346407414292,24.51286535515484
9212,4969.4326,7442944,-10.621291,0.008894928,0,0,1.5538181,95.36657,56.85946718048621,24.514958521838427
9213,3513.2395,7431.4683,-7.7666864,0.052283376,0,0,1.9953979,87.62635,57.10710965431507,24.51301264564847
9214,280.66675,7439.3203,-8.536786,0.04283125,0,0,2.8459456,86.318634,57.656808941261495,24.512405664170387
9215,293.0312,7437.8374,-9.091442,0.020201137,0,0,1.7880292,86.33003,57.65470518927978,24.512186961212727
9216,5130.4463,7436.3516,-7.5147505,0.055044886,0,0,1.8193374,97.08779,56.832084871603236,24.513932551886594
9217,3438.9602,7433.4165,-7.3766804,0.069373295,0,0,1.6064206,87.24205,57.11974212826627,24.51329459254568
9218,6826827,7436.9697,-8.015362,0.039005026,0,0,1.5649865,116.597435,56.543596392615775,24.513665000110933
9219,8242.0,7668.01,99.0,99.0,0,0,13.920744,111.40107,56.302781568954636,24.54868929492932
9220,2183.6914,7443.5996,-8.440728,0.029147446,0,0,1.7416296,84.75326,57.33321392369412,24.51438135675773
9221,3840229,7443.0557,-7.8363605,0.044233475,0,0,1.8268209,88.254196,57.051504194063746,24.514878965425545
9222,1010.08215,7442.6875,-7.184349,0.074956216,0,0,1.8705217,82.199005,57.53278384331777,24.51351161939867
9223,6611679,7442782,-7.2947335,0.064737,0,0,1.680042,104.21286,56.58018199470323,24.51464075329413
9224,2521.19,7446.33,-7.6383457,0.0525691,0,0,1.8098229,85.57017,57.2758218311194,24.514964736522206
9225,2933.7764,7447.2993,-8.830175,0.0238111,0,0,1.6395164,87.085846,57.20565838303502,24.515282033638805
9226,466.76526,7445788,-8.27053,0.033768967,0,0,1.656533,93.37993,57.62517176517919,24.513565211890622
9227,6515299,7448333,-8.963587,0.02169609,0,0,1.7096734,101.5518,56.596570530067915,24.515531003196422
9228,8408765,7455081,-9.010332,0.03553988,0,0,5.1437187,130.95526,56.27457214985839,24.51563439766308
